iter	Passed	Remaining
0	5	5881
1	9	4599
2	12	4072
3	15	3761
4	18	3653
5	21	3554
6	24	3493
7	27	3430
8	30	3372
9	33	3365
10	37	3338
11	40	3322
12	43	3304
13	46	3264
14	49	3251
15	52	3227
16	55	3212
17	58	3206
18	61	3192
19	64	3179
20	67	3151
21	70	3132
22	73	3129
23	76	3108
24	79	3100
25	82	3092
26	85	3082
27	88	3070
28	91	3059
29	94	3057
30	97	3042
31	100	3039
32	104	3070
33	108	3077
34	111	3071
35	114	3068
36	117	3058
37	120	3055
38	123	3044
39	126	3039
40	129	3031
41	132	3022
42	135	3018
43	138	3013
44	141	3011
45	145	3010
46	148	3002
47	150	2993
48	154	2989
49	157	2991
50	160	2988
51	163	2984
52	166	2978
53	169	2974
54	173	2972
55	176	2968
56	179	2966
57	182	2959
58	185	2957
59	188	2951
60	191	2946
61	194	2945
62	197	2941
63	200	2933
64	203	2930
65	206	2927
66	209	2921
67	212	2917
68	215	2913
69	219	2911
70	222	2909
71	225	2904
72	228	2898
73	231	2897
74	234	2897
75	237	2890
76	240	2888
77	243	2883
78	247	2880
79	250	2877
80	253	2876
81	256	2875
82	259	2871
83	263	2869
84	266	2869
85	269	2865
86	273	2864
87	276	2861
88	279	2856
89	282	2852
90	285	2850
91	288	2846
92	291	2840
93	294	2836
94	297	2833
95	300	2831
96	303	2825
97	306	2823
98	309	2819
99	312	2815
100	315	2812
101	318	2806
102	321	2801
103	324	2799
104	328	2796
105	331	2792
106	333	2787
107	336	2783
108	340	2779
109	343	2777
110	346	2775
111	349	2770
112	352	2767
113	355	2763
114	358	2760
115	361	2757
116	364	2752
117	367	2747
118	370	2742
119	373	2738
120	376	2733
121	379	2730
122	382	2725
123	385	2722
124	388	2718
125	391	2714
126	394	2710
127	397	2706
128	400	2703
129	403	2698
130	406	2693
131	409	2691
132	412	2688
133	415	2686
134	418	2683
135	421	2679
136	424	2676
137	427	2671
138	430	2669
139	434	2666
140	437	2663
141	440	2659
142	442	2654
143	446	2652
144	449	2648
145	452	2645
146	455	2641
147	458	2639
148	461	2636
149	464	2634
150	467	2630
151	470	2626
152	473	2623
153	476	2619
154	479	2616
155	483	2613
156	486	2610
157	488	2605
158	491	2600
159	494	2598
160	497	2593
161	500	2589
162	503	2587
163	506	2583
164	509	2580
165	513	2577
166	515	2573
167	518	2569
168	522	2566
169	525	2563
170	527	2559
171	530	2554
172	533	2550
173	536	2546
174	539	2544
175	542	2541
176	545	2537
177	548	2533
178	551	2529
179	554	2525
180	557	2520
181	560	2518
182	563	2514
183	566	2511
184	569	2508
185	572	2506
186	575	2502
187	578	2498
188	581	2496
189	584	2492
190	587	2488
191	590	2485
192	593	2483
193	597	2480
194	600	2476
195	602	2473
196	605	2469
197	608	2466
198	612	2463
199	614	2459
200	618	2457
201	621	2453
202	623	2449
203	626	2446
204	630	2444
205	633	2441
206	636	2438
207	639	2435
208	643	2433
209	646	2430
210	649	2426
211	652	2424
212	655	2422
213	658	2419
214	661	2416
215	664	2412
216	667	2410
217	671	2407
218	674	2404
219	677	2400
220	680	2398
221	683	2396
